1#10#B#L#N#JPG.jpg :   [0.001082090967569446, 3.4469512016585095E-7, 3.095773864600199E-14, 3.230407690537093E-14, 7.72544758030659E-28, 1.582496743233815E-17, -6.684248766663601E-28]
1#10#F#L#N#JPG.jpg :   [0.0010803609707314608, 3.4620854230245983E-7, 1.5490204705217906E-13, 1.2886277534688365E-13, 1.7166405649953587E-26, 7.55079203461611E-17, 6.0647327841342996E-27]
1#100#B#L#N#JPG.jpg :   [0.0011786533576434413, 5.547524727014523E-7, 1.60192567755393E-14, 4.809097698378579E-14, 1.3346618129610089E-27, 3.424671479249435E-17, 1.928810558128405E-29]
1#100#F#L#N#JPG.jpg :   [0.0011790741361398889, 5.580510303046414E-7, 3.149597389772442E-14, 1.0127590364584255E-13, 5.0673110209153196E-27, 7.474852863922093E-17, 2.6531783102208595E-27]
1#20#B#L#N#JPG.jpg :   [0.0011025491838551147, 3.9083860951485935E-7, 3.6855811702293907E-14, 1.1676821890344142E-14, 2.4136856141978284E-28, 5.000739566379306E-18, -2.049012389897493E-29]
1#20#F#L#N#JPG.jpg :   [0.0011087626978234669, 3.9520839975601673E-7, 1.958420644748597E-14, 2.253164733166641E-15, -1.2876644153399385E-29, 5.999867664587818E-19, 7.629614299494884E-30]
1#200#B#L#N#JPG.jpg :   [0.0012047101109198155, 6.20991345319051E-7, 5.249793704809123E-14, 1.9843744911056713E-13, 2.0243518123929022E-26, 1.563409609176303E-16, 6.45362351335968E-28]
1#200#F#L#N#JPG.jpg :   [0.00120781329113526, 6.279609504360146E-7, 1.0933494629355681E-13, 1.254229212338729E-13, 1.434116508223549E-26, 9.329517643683372E-17, 3.1702753980152452E-27]
1#50#B#L#N#JPG.jpg :   [0.0011360304264585272, 4.7041554793495507E-7, 1.669752786884306E-16, 9.987935867325196E-15, -6.059461519510697E-30, 6.494493651601494E-18, 1.1386597822797686E-29]
1#50#F#L#N#JPG.jpg :   [0.0011465336782146686, 4.853275730392197E-7, 2.4766045579529132E-14, 1.0197286986195722E-13, 5.1154631048995704E-27, 7.051084616196907E-17, 3.0495402916857238E-28]
